Hash of previous block,pi,Sub Users,Step
c1b2f5972d3f39b486eeeacc8c600a726616166e2dfe96cd4e22c54e930cebd102df09fb73aa5c4e5ca9c600f967aeac999707e59665bf84efc55971111d8cef , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
c7dda2cb528b036a3ce7da2c63972c5250f71c00a99169dc32e95c5e2cda074bf6a30f333ce89e3193772066822e7a5d680ed31d7f2dc748cd549e39f0c1ae9c , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
c89ac2c4f33691cbb8b31731f1a01855c070affb036a0f654261f7f8f940d623601ea875c56ca493040e705f023fe61233c4cbdb3015b435710874f23524d2dc , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
b74688ea889413155365a2eacfa705159b5658126ee7e7dda62045cd0149582c940cc68c3019c6720826c1a25f72579c279a32455bad5510f5930775d731598c , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
db20dda134134148373fe5e4111b5b7750f6359e3f1a055530d240d1eaa2c8cf12c2d8e54611f221aa74caa1fb2c03c78e671a25e2a045ad7dfbd83237daf98a , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
45e5597b813bff2e72a2db03c551280d00291a38d599802275a92dc18e4468c6ea173056288078b976492d71b691bd21b9ff05dc950bab4bd60880e1ff4d3211 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
b5945043b21dc87645c7d7fe06785c5b05a5dd9bbeb94b8dc048a7f36198110d15799250ee77f4d151ba8a290ce61d678b05a1a8efecea4fd0cbf135bdd80027 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
c87410eb8a261cd81edf720203fbf51668021331ed9336ab2cb13fbac4e6c31515dd131c5985d2dc226ea8efe673153cb0f5be762d29c71b2d0cc0ff238c4dff , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
4e5faa598729ffa7bb6f88b1ceadf2ef6f1aba4fbccb424b651d8bfcdd05ff5a3ca94be6dbb3118f6621045cc71f8cf281044436787e13ef5de92176aa4ddde6 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
c1abae324b7a7242b0b3052afc5d15a0b203f8472bcce4b9a4e4d01cffafcf2664d8e559a9e068d308e44634391fb15c7952a37e36403e0cb0d001235310e8fa , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
2fb91f1190f86be1220f41e9dbeb32d2a1377edc7915c06e5e43c99288a52ef35d2fab7ab42f3e72d54af2fee5a57ac8b49e33a04eda5cb9a3d5553cc2ed2286 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
4a3c4278fd3e9d4940a00ebfed8ae4d2b075566c6aff5c9c3d772900e4503e47bd6787914c68f3c2d078f38194a0f276181c2045ddc1eac1299f42c966f238c3 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
1b5b83f0d9a41a0b4c4a38596168899b20a9e56a70c9d0ddeac97ca755473c072a706f588345523969550a4c9919e2298c4afe6168a0706cd9406ac77cff75f6 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
ca43f1001b9b7b689204e8b0655a8674305ad7acf452fc5787ae7825e72a101cfa2cfee42a0330b515a727e1fd0e615493b93dbc430eac41f260728b1a1e9385 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
26ebdffe19fe23fe18999ed0149a4dc61ba15b70ad54f496aced3735699254c4b9d0d99062105e81bbe95b1573d522946ec023ac0dfcf9df3b134b95efb62b00 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
175e86fbb7a8032227ee2aeed04f0d3760b3748f035396dad26d290cd3e41d3b40d896764567e458bb22e3d55b41883a056a77fc95df27f0862bec38a02fe35d , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
43881d5e63120b06a40880a2ec26eec25ebb59e20d6286ff68d9483bc40b06f2e371af1b3214ff4880e686c39c443559bd6f2df2eb46fbf931e89d2877c6aaaa , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
de9200210284430d06aa03aa9d38d3a4d159ad9c5509e8af5bbc1af8c859fb3781f9247a559be7281393d35303064f362e0237b5c8a04799b059a48038615aae , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
fa6f93a21e69b052ede246f74bce463c664c8fa8d24c6f20b9e340c9f19102fe6473f4d01abe8442a4ec4b0713d2fc59c88b53055c8f867005d63afb12104437 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,1,1
c81f979839571f5dd9c9b2fac8009f263080110a93522c3fb006f84da50cfa1912b3043defb25f0708e4370e65e662c2bfa114a726b3708dfb47fa955b1445a5 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
44b7673e7ed235d78b9d1e481a3ada4fb6d543dcbac51fb101ea343123eebf26dc7aa63d0414b24c35d0e7905dd41cc47719d4c38509591369339eeaf3d0f13a , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
a7837faae87d5e92d69e79ead3484df574e47bc55b29d9b5cdd2853f1212e67eb0df4099cc5812d10a3923358cf3bd165e3201824abc4bcb7aa631bf8c196371 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
feffb49477118fac48081c9ae31abb7c394038ab00719d54f54bf95e17b026e409d5f57d22101ecdbb0d7779447df142ee9594d372b3fd0f693273bd6825b30c , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,1,1
2042894571a44ba158065b8375e43608198023ded81d30fca469f9fb3749a375158ecfa3641c5cf268e6513c92d02d73ece95c6759dce89618780b6afb014f0a , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
3f15a29525ec3fa9fdc47558dc4cef6056de3b868c752ddfdc3c0a5df6b1079a00dea491765feb00762666b1b18bf21da03a667d790d13e8dc816199d6137e32 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
2498bf221b64a71e68533dad171afb53f7aa18abb960721e01c87e9fb79e587434ebde17384582b61301ff71f587731923fc42b3672ce0638182fe6ae432d34d , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
4b11705656712c2ad5d602f358d2dc7d4868bd9d48a1ca2c4756842f7f712e18dfacd25698c4afbf4f22b5b3398c513fd90cfda66a7ef9ae0df4ea09dc01f297 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
dba87b819eb78bf8f50d16667cb4ab526d577140646ce4da071348d5c1f98e0d0198070b7eb114ac6078b1e7f90f6da98784fcf6bb0b5161b290481dc042b8fd , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
b8da7ecebaa9ca0ec34981a28dd8c1c1e2245894dc50b523f0815bd11903a22ff64b983819a8557c22367272cb3a11cd7fafb84e383bb35b3a536f20f98fe372 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
d42608143b3f13d1fe67f02d55021f9ce312de561dbe59e7b495a1cfaa0ac70687e2ddf4a705acb4eae5413aed9dacaf38115da7ebab8720729a48ecb93f6985 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
2388b6d43693b50ca542075b0811f442ecf31f7ca36a0099f5c17066a9e494cda4c468db49c1024ba141e9f5895aeae31898b6b750433aa36c60a4d75188c60a , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
0998b5d63d7c06310205570c28864ab5b9bb505b625b8d296f79812f0487397cf1c6c90f47182f93676354e61399b145928ffdd44ceed51a1205ac015e3a2953 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
9f038d7318b88e3c08b5629039070002a5abbb3ea4c947f8610407ce0257814566dbbc13f899eb820f7da61b2ce606059e1aa1056076c0982e64588e2fa92352 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
b2e2efecccf3e42dd7c8b4df7d01f6cd2288e0e029acbecdbe3e6d0cb395969196f4f68d99a0fd2c44b1e0f83c9f2b7b57924253587083f375198465c2303187 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
5f7276a712f4b23bd94b6aab85b635ff1bf2365fccdc07338610e99e9d8a8cc0498cfc5ba9b1b25a2c71016c95b68f3072d88d5b3e524fc99b7961e726ce6f2b , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
